date,open,high,low,close,volume
2025-01-02,99.87530908207614,100.80330441929884,99.42408104924435,100.0518586719985,1066677
2025-01-03,100.34717370535812,101.71914545953011,99.90262494308607,100.55147861193636,1627949
2025-01-06,100.44144422617879,100.96799583932258,99.63529822782509,100.18893501095528,2458528
2025-01-07,98.78943599813995,99.51887919400892,98.44131855432293,98.90886552735559,1690858
2025-01-08,98.22618760331378,98.37827677681784,97.80617196129705,98.28572659931125,1796399
2025-01-09,96.89161649896847,97.57706230846718,96.5855371388902,96.88300493402721,2067352
2025-01-10,97.47551949755565,97.03446472569202,96.51532957839095,97.01894511296574,1611633
2025-01-13,99.30817008016516,99.21416798999078,98.6085408835442,99.03858271037906,1544066
2025-01-14,98.5097602381631,99.20157153183607,97.74202146425917,98.3592311654534,1983988
2025-01-15,97.27698716495425,98.28832028704312,97.26399024476844,97.49677273318099,1039932
2025-01-16,97.7217053780052,98.81028964442274,97.60586139203421,98.2649014583651,2296055
2025-01-17,99.21717538250239,98.92775157452485,98.20624393559001,98.84176253437494,1401140
2025-01-20,99.43058499609283,99.53163007066918,98.49546586887706,99.047687580838,1800570
2025-01-21,97.66872685219128,98.11108490586,97.26614887516114,97.72372905007528,2469558
2025-01-22,97.94154474757275,98.50280520139572,96.98139381123462,97.72971214015948,2096148
2025-01-23,99.11255008653845,100.06575093449074,98.7042963988972,98.80371218818824,2076227
2025-01-24,97.2019897254685,97.52421743584128,96.1647841512637,96.87988949377598,2186389
2025-01-27,96.62006976022644,96.61781067620839,95.61750091048388,96.26528080510143,997785
2025-01-28,93.43492902531929,93.83844520980084,92.96431244635463,93.60552233802552,1548811
2025-01-29,92.41487214184424,92.39391241306609,91.20144068188051,91.85822124813797,2173955
2025-01-30,88.95418338451958,89.88894876052173,89.03887245874807,89.39996488707644,1244369
2025-01-31,89.43703765627492,89.35669160196595,88.6644147581302,89.1298167764171,1328574
2025-02-03,87.66791687692543,88.05056225248677,86.80286177325746,87.49505042827369,2292131
2025-02-04,88.20287647446484,88.11962014610808,87.25479851654218,87.89572692630504,2128374
2025-02-05,88.80921219016982,88.9696646197302,87.5631553383773,88.14669867396368,1225430
2025-02-06,88.46603698550781,88.75186942750165,87.81570797525112,87.94384561139044,821626
2025-02-07,84.33996774348884,85.51217749392225,84.0829913913865,84.72808231652613,1620821
2025-02-10,83.52024864277105,84.47318153894282,83.28869261955636,84.08823831588637,2281159
2025-02-11,84.34380976748744,84.70328973702608,83.31004802092178,84.06910922536504,1729551
2025-02-12,83.91215771691891,84.72637725121442,83.68959303953179,84.25423409169164,1075927
2025-02-13,82.37954493204258,82.78183948315454,82.27431280530043,82.38363293598164,1620000
2025-02-14,82.11114612216718,82.24401982998691,81.11384484340869,81.83626547921364,1574776
2025-02-17,80.15368074994309,80.85370033906457,80.2357328091134,80.68419461148268,1826953
2025-02-18,79.07797604687102,79.88412622666685,79.62366179933663,79.75106883265983,1924984
2025-02-19,81.15494931258634,81.75047546543605,80.49269616463317,81.07086293124249,1215329
2025-02-20,80.14905838972653,80.56966610217694,80.01274678171157,80.13483096668067,1663378
2025-02-21,80.05701605864583,80.6686515476029,79.96666566345021,80.13580656817433,1633721
2025-02-24,81.25909494255477,81.97820770741787,80.91385694220752,81.24657167276858,1081176
2025-02-25,80.3013649609503,80.64323347984397,79.78761830863779,80.57872195239727,1648146
